,gameId,win,diffLevel,diffKill,diffTower,diffDragon,diffWinrate
2037,4227959501,0,-3,-6,0,-1,7.26
2038,4227396767,0,-3,-6,-3,0,-2.55
2039,4227412814,0,-6,-15,-4,-1,3.95
2040,4227246804,0,-4,-3,1,-1,-0.08
2041,4227241692,1,3,10,1,1,2.53
2042,4221424827,1,4,1,2,2,-7.28
2043,4221470499,1,6,8,3,1,-3.96
2044,4206855529,1,-5,-5,0,-1,0.22
2045,4206778882,1,3,5,2,2,5.22
2046,4206692119,1,-1,-3,0,-2,-4.98
2047,4206546946,1,2,9,0,1,7.3
2048,4205458270,1,4,4,3,-1,-10.1
2049,4205471048,0,2,1,-2,-1,5.92
2050,4205383774,1,2,4,0,0,0.01
2051,4205289087,0,-2,3,-1,-1,6.52
2052,4195453963,1,8,20,5,-1,-3.7
2053,4195303100,0,0,-3,0,1,5.57
2054,4182138028,1,3,3,1,-1,2.89
2055,4177013789,0,1,9,-1,0,0.49
2056,4174583945,0,-6,-17,-4,-1,2.1
2057,4174534259,0,-4,-5,1,-2,-3.96
2058,4172399816,0,-2,-2,-2,-1,2.33
2059,4172444473,1,6,11,1,2,-10.17
2060,4161132937,1,3,9,1,-1,0.44
2061,4151046913,1,0,2,-2,-1,6.16
2062,4144356471,1,2,3,-3,1,-29.58
2063,4143429255,1,0,-6,0,-2,7.2
2064,4140187240,0,2,5,0,2,0.42
2065,4137320191,0,0,2,1,0,12.44
2066,4137271605,0,-5,-8,-3,-1,16.28
2067,4135949212,1,2,3,1,-1,-11.07
2068,4135686306,0,1,-1,-1,-1,-12.05
2069,4135671529,1,5,7,1,-1,-0.95
2070,4135617300,1,2,1,0,-2,11.03
2071,4135582797,0,-2,-3,-2,0,0.82
2072,4134519390,0,-7,-12,-1,-2,2.77
2073,4133822024,1,2,1,0,-1,5.47
2074,4133729209,1,3,12,3,0,5.11
2075,4133026118,1,1,5,1,1,14.01
2076,4132855623,0,0,-2,0,0,5.35
2077,4132783393,1,2,4,0,-1,9.38
2078,4132696557,0,-3,-4,1,-1,-1.16
2079,4129119930,0,3,12,0,-2,-6.65
2080,4128336277,1,5,13,1,-2,-8.87
2081,4128126208,1,-1,-2,1,0,-1.73
2082,4128063572,1,3,7,2,2,-9.6
2083,4127472319,0,-4,-11,-3,0,-6.88
2084,4122129674,1,2,4,-2,-2,-8.26
2085,4122112325,1,2,3,2,2,2.43
2086,4121983345,0,1,3,-2,2,-6.95
2087,4121940572,1,8,14,0,1,4.91
2088,4121862066,0,-4,-8,-2,-1,-11.15
2089,4121488861,1,2,-2,-1,1,9.74
2090,4120762153,1,-3,-3,-2,1,-8.25
2091,4120679090,0,1,6,-1,1,-5.07
2092,4120703777,0,-2,-4,-1,-2,-2.71
2093,4119848391,0,3,8,-1,2,1.83
2094,4119334045,0,-4,-2,1,0,-8.67
2095,4119228473,1,4,5,1,0,-2.13
2096,4119162369,1,3,0,1,2,-2.59
2097,4119055107,1,2,1,-3,2,7.24
2098,4118669578,1,1,6,0,1,27.31
2099,4118407088,0,1,3,1,2,-8.61
2100,4240057790,0,-4,-8,-1,-2,1.76
2101,4240030121,0,-2,-9,-1,1,-9.07
2102,4232813301,1,4,5,2,0,10.09
2103,4231931553,0,-3,-5,0,-2,7.19
2104,4230401887,0,-2,1,1,0,-22.75
2105,4230297455,0,-8,-18,-4,0,-7.69
2106,4222168336,0,0,-2,0,-1,-10.42
2107,4215922417,0,-2,-4,-1,-1,11.11
2108,4214282301,1,-4,-2,0,-2,2.33
2109,4206018890,1,2,1,0,-1,10.97
2110,4204546051,1,-2,-7,-1,0,17.62
2111,4204427871,0,1,4,-1,-2,0.06
2112,4203694818,0,-8,-12,-5,0,-6.78
2113,4201329906,0,0,-2,1,0,-3.94
2114,4195511604,0,-3,-9,-1,0,-5.76
2115,4195406607,0,-3,-4,-2,-2,-8.64
2116,4193136661,0,3,5,0,2,-10.16
2117,4193087648,1,6,8,3,-1,-8.56
2118,4191407403,1,2,5,-2,-1,-16.22
2119,4187918271,0,-1,-3,-2,-2,-0.05
2120,4187881647,1,-1,4,1,2,0.35
2121,4187118612,1,6,10,3,1,-7.95
2122,4186949462,1,3,6,3,1,3.25
2123,4185924452,0,3,6,1,1,0.89
2124,4183739981,0,2,9,0,0,-9.37
2125,4183735421,1,1,3,2,0,-8.98
2126,4183721765,0,-6,-10,-2,0,-1.27
2127,4183285117,1,4,9,4,1,-4.61
2128,4181147899,0,1,0,-1,-1,-9.92
2129,4179148263,1,1,3,0,-1,8.82
2130,4178967192,0,1,2,1,2,10.78
2131,4178199840,1,-1,-4,-1,0,-4.63
2132,4176511287,0,2,-3,-1,-2,9.15
2133,4176433155,1,8,15,4,2,-1.85
2134,4176142566,0,0,1,0,-2,-9.68
2135,4175945869,1,-3,-5,0,0,-11.22
2136,4173605169,1,0,3,1,0,10.96
2137,4173134554,1,0,-7,-1,0,1.68
2138,4173041677,1,-1,0,0,0,12.56
2139,4172515006,0,-3,-3,-1,-2,15.7
2140,4172492957,1,5,10,3,0,6.51
2141,4172431681,1,6,13,0,2,13.13
2142,4170913517,0,-1,-3,-2,-2,14.3
2143,4170875965,1,6,15,3,1,-5.1
2144,4170782374,1,8,10,-1,0,-1.75
2145,4170073619,0,-1,-4,-1,2,13.96
2146,4169118486,1,2,4,-1,1,-0.57
2147,4169131142,0,-6,-17,-2,-1,0.77
2148,4163057865,0,-18,-16,-5,-1,0.01
2149,4158900540,1,-1,5,1,0,2.32
2150,4157974686,1,5,10,3,2,-1.47
2151,4157412339,0,1,-4,1,1,0.68
2152,4157193928,1,0,2,0,-1,13.49
2153,4155970798,1,8,10,1,1,-4.83
2154,4154107857,0,4,3,1,-2,-7.63
2155,4150681021,0,-5,-10,0,1,-9.47
2156,4150246840,0,-5,-8,-2,-2,-8.39
2157,4149631228,1,-1,1,2,2,10.4
2158,4149113175,1,2,2,2,-2,-6.71
2159,4139675468,0,3,7,1,-1,12.15
2160,4139473530,0,-6,-15,-1,-2,4.07
2161,4139392611,0,3,5,-1,-1,-14.53
2162,4128567384,1,-3,-18,-3,0,-2
2163,4128529170,0,-6,-7,-3,0,-1.05
2164,4128109199,0,-3,-13,-3,-2,-6.11
2165,4127929211,1,2,3,-2,1,16.71
2166,4255910639,0,-5,-13,-2,-1,7.72
2167,4253774105,1,1,7,0,-1,5.26
2168,4252739175,0,-4,-6,-1,-2,3.69
2169,4251009380,0,-1,-3,-1,0,-9.79
2170,4250852010,1,0,1,-1,-1,8.73
2171,4248812374,1,7,14,0,2,-9.89
2172,4247371349,1,5,1,2,0,-11.46
2173,4247059218,1,2,1,-1,-1,-6.4
2174,4246394713,1,2,7,2,2,-3.57
2175,4244631357,0,6,11,1,1,-1.44
2176,4244454110,0,0,-7,-2,2,-0.7
2177,4243222991,1,3,8,1,2,-2.5
2178,4241870863,1,-2,-1,1,-1,1.01
2179,4240405701,1,-1,1,0,1,9.85
2180,4240297138,0,-2,-5,-1,0,-8.59
2181,4240202841,1,12,18,5,1,-8.01
2182,4238051584,1,5,12,3,1,-20.56
2183,4237027117,0,-4,-10,-2,-2,4.91
2184,4235000512,0,0,1,-1,0,3.39
2185,4232756408,0,-2,-11,0,0,8.55
2186,4232589739,1,0,1,1,-2,1.17
2187,4232544826,0,1,2,0,0,-7.32
2188,4232428833,1,-1,-1,-1,-2,12.44
2189,4232342815,0,-8,-4,-4,-2,-0.65
2190,4230948424,0,3,-4,-1,-1,-5
2191,4230230863,0,-5,-12,-2,1,12.48
2192,4229991256,1,2,5,1,2,4.8
2193,4229578922,0,-2,-2,0,0,0.41
2194,4227492775,0,0,-4,-1,-1,-8.41
2195,4227215090,0,-3,0,1,0,2.85
2196,4227109928,1,4,7,1,1,9.45
2197,4225107854,0,-4,-9,-2,-1,7.2
2198,4225034639,1,-1,0,2,-1,-3.78
2199,4224923999,1,0,4,0,0,-15.69
2200,4224700687,0,-2,-4,-1,-1,7.27
2201,4224372428,1,-1,-4,0,0,4.71
2202,4223632878,0,5,7,0,-1,16.58
2203,4222936250,1,2,4,1,1,4.59
2204,4222970380,0,-2,-6,0,-2,4.89
2205,4221539029,1,4,5,0,-1,-12.68
2206,4221551562,0,-1,-5,-1,2,-24.17
2207,4221425236,0,0,-2,0,-2,0.27
2208,4221019249,0,-4,-4,-2,0,-5.6
2209,4221041062,1,1,-3,-1,2,13.98
2210,4220882173,0,-7,-19,-2,-1,2.49
2211,4220276492,0,-1,4,-1,-2,12.26
2212,4220204112,0,-3,-6,0,0,6.35
2213,4219997325,1,-1,3,0,2,0.52
2214,4219930242,1,6,11,6,2,15.32
2215,4218965232,0,-7,-9,-2,-2,-10.99
2216,4218495438,1,-1,-1,0,0,-4.62
2217,4218530457,0,-3,-6,1,-2,6.63
